CLAVE DE CENTRO,NOMBRE DEL CENTRO DE TRABAJO,TIPO DE INMUEBLE,SUB TIPO DE INMUEBLE,ALUMNOS DE LA ESCUELA,NOMBRE DE CALLE,NUMERO EXTERIOR,ENTRE CALLE,Y CALLE,CALLE POSTERIOR,CODIGO POSTAL,ESTADO,MUNICIPIO,LOCALIDAD,EDOMUN,EDOMUNLOC,TIPO DE ZONA RURAL-URBANO,LONGITUD,LATITUD,TURNO
19DPR0953R,GUADALUPE VICTORIA,PRIMARIA,GENERAL,176,SIERRA MADRE ORIENTAL,0,0,0,SIERRA MADRE OCCIDENTAL,66058,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.296847,25.795534,VESPERTINO
19DPR0993S,PROFR. GREGORIO DE GANTE,PRIMARIA,GENERAL,281,COZUMEL,5401,ELOY CAVAZOS,CARLOS E. RODRIGUEZ,CANCUN,67190,NUEVO LEÓN,GUADALUPE,GUADALUPE,19026,190260001,URBANA,-100.204572,25.654242,CONTINUO (TIEMPO COMPLETO)
19DPR1316Z,JOSE MARIA MORELOS Y PAVON,PRIMARIA,GENERAL,243,FRANCISCO MIRANDA,302,MANUEL CEDEÑO,ADOLFO RUIZ CORTINES,SIN CALLE PROXIMA,67114,NUEVO LEÓN,GUADALUPE,GUADALUPE,19026,190260001,URBANA,-100.185661,25.710541,CONTINUO (TIEMPO COMPLETO)
19DPR1475O,MOISES SAENZ GARZA,PRIMARIA,GENERAL,125,HACIENDA LAS DELICIAS,0,RANCHO SAN JAVIER,RANCHO LA SIERRITA,HACIENDA DE AGUILERA,67192,NUEVO LEÓN,GUADALUPE,GUADALUPE,19026,190260001,URBANA,-100.192892,25.642545,VESPERTINO
19DPR1739G,JOSE MARIA LUIS MORA,PRIMARIA,GENERAL,593,MISION RONDA,0,MISION SALAMANCA,MISION SAN PABLO,NINGUNO,66643,NUEVO LEÓN,APODACA,MISIÓN SAN PABLO,19006,190060392,URBANA,-100.141849,25.742774,MATUTINO
19DPR1746Q,LIC. ADOLFO LOPEZ MATEOS,PRIMARIA,GENERAL,126,GENERAL VICENTE GUERRERO,0,0,0,LA ACEQUIA,66054,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.296601,25.779235,VESPERTINO
19DPR1759U,JOSE JUAN TABLADA,PRIMARIA,GENERAL,650,VERONA,0,MONTERREY,BOLONIA,LAS AGUILAS,66064,NUEVO LEÓN,GENERAL ESCOBEDO,CIUDAD GENERAL ESCOBEDO,19021,190210001,URBANA,-100.393176,25.807129,MATUTINO
19DPR1862G,LEONORA CARRINGTON,PRIMARIA,GENERAL,206,PALMIRAS,0,OLIVO PONIENTE,OLIVO ORIENTE,NINGUNO,66066,NUEVO LEÓN,GENERAL ESCOBEDO,PALMIRAS,19021,190210155,RURAL,-100.423188,25.844679,CONTINUO (TIEMPO COMPLETO)
19EPR0015W,APOLONIO G. DE LA GARZA,PRIMARIA,GENERAL,260,A. TREVIÑO,0,ROGELIO ELIZONDO,ROGELIO ELIZONDO,MARIA ROSA ELIZONDO,66649,NUEVO LEÓN,APODACA,CIUDAD APODACA,19006,190060001,URBANA,-100.171941,25.709819,CONTINUO (TIEMPO COMPLETO)
19EPR0310Y,PROFR. SERAFIN PEÑA,PRIMARIA,GENERAL,159,SERAFIN PEÑA,0,CENTRAL,ARTURO B. DE LA GARZA,SERAFIN PEÑA,67190,NUEVO LEÓN,GUADALUPE,GUADALUPE,19026,190260001,URBANA,-100.198843,25.67814,CONTINUO (TIEMPO COMPLETO)
